D,-1,-1~0,0~1,1~
0.743961,0,0,1,0
-0.275955,0,1,0,0
-1.047816,1,0,0,0
-1.199622,1,0,0,0
-1.713458,1,0,0,0
1.041152,0,0,0,1
1.807806,0,0,0,1
1.244379,0,0,0,1
-2.088725,1,0,0,0
1.958098,0,0,0,1
-1.022396,1,0,0,0
0.598826,0,0,1,0
-0.220663,0,1,0,0
0.005026,0,0,1,0
1.770260,0,0,0,1
-0.747039,0,1,0,0
1.114151,0,0,0,1
0.819906,0,0,1,0
-0.291483,0,1,0,0
-0.724335,0,1,0,0
-0.808620,0,1,0,0
0.767545,0,0,1,0
1.645041,0,0,0,1
1.495022,0,0,0,1
-0.036637,0,1,0,0
0.700944,0,0,1,0
0.414490,0,0,1,0
-0.267681,0,1,0,0
-0.650343,0,1,0,0
-1.373169,1,0,0,0
-0.440035,0,1,0,0
-0.075984,0,1,0,0
-1.479948,1,0,0,0
0.047137,0,0,1,0
0.353960,0,0,1,0
-0.322784,0,1,0,0
0.788491,0,0,1,0
-1.428901,1,0,0,0
-1.863347,1,0,0,0
-0.237773,0,1,0,0
-1.439540,1,0,0,0
0.922784,0,0,1,0
1.463207,0,0,0,1
0.803125,0,0,1,0
0.690401,0,0,1,0
-0.611956,0,1,0,0
0.131107,0,0,1,0
-1.133333,1,0,0,0
2.000906,0,0,0,1
0.882615,0,0,1,0
0.884333,0,0,1,0
1.097148,0,0,0,1
-0.970744,0,1,0,0
-0.070743,0,1,0,0
0.503419,0,0,1,0
-0.054198,0,1,0,0
1.879204,0,0,0,1
0.766986,0,0,1,0
0.094517,0,0,1,0
-0.155272,0,1,0,0
-0.274980,0,1,0,0
0.507898,0,0,1,0
-1.169742,1,0,0,0
0.161286,0,0,1,0
-0.573444,0,1,0,0
0.404277,0,0,1,0
-0.948524,0,1,0,0
-1.601443,1,0,0,0
-0.633723,0,1,0,0
-0.095401,0,1,0,0
-1.090415,1,0,0,0
0.008641,0,0,1,0
2.201239,0,0,0,1
-0.025703,0,1,0,0
-0.698925,0,1,0,0
1.732412,0,0,0,1
0.392752,0,0,1,0
1.825864,0,0,0,1
-0.388892,0,1,0,0
1.188549,0,0,0,1
-1.573074,1,0,0,0
0.253324,0,0,1,0
-0.446871,0,1,0,0
0.245333,0,0,1,0
-2.033097,1,0,0,0
0.484690,0,0,1,0
-0.890627,0,1,0,0
-0.830316,0,1,0,0
-0.118910,0,1,0,0
-0.445931,0,1,0,0
0.888543,0,0,1,0
0.438660,0,0,1,0
-1.057281,1,0,0,0
-1.976824,1,0,0,0
-0.575254,0,1,0,0
-0.148128,0,1,0,0
0.513346,0,0,1,0
1.438341,0,0,0,1
1.209476,0,0,0,1
2.002039,0,0,0,1
0.220635,0,0,1,0
0.089199,0,0,1,0
0.039287,0,0,1,0
-0.665060,0,1,0,0
1.126837,0,0,0,1
-1.348845,1,0,0,0
-0.041640,0,1,0,0
-0.978341,0,1,0,0
0.976134,0,0,1,0
0.208103,0,0,1,0
1.166325,0,0,0,1
-0.483684,0,1,0,0
-0.358482,0,1,0,0
-0.025189,0,1,0,0
-1.512771,1,0,0,0
-0.900186,0,1,0,0
-0.926729,0,1,0,0
-0.177384,0,1,0,0
0.042497,0,0,1,0
1.904148,0,0,0,1
2.202113,0,0,0,1
1.429940,0,0,0,1
-0.115375,0,1,0,0
0.873707,0,0,1,0
1.564434,0,0,0,1
0.236373,0,0,1,0
0.365956,0,0,1,0
-1.219851,1,0,0,0
0.994057,0,0,1,0
0.480060,0,0,1,0
0.128837,0,0,1,0
-0.271931,0,1,0,0
0.385688,0,0,1,0
0.806015,0,0,1,0
-0.186173,0,1,0,0
0.066759,0,0,1,0
-0.088419,0,1,0,0
0.589373,0,0,1,0
1.683152,0,0,0,1
-0.053074,0,1,0,0
0.937815,0,0,1,0
