Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,23410.5,23622.7,23347.6,23539.1,23539.1,61300
2020-09-30,23478.8,23522.4,23170.9,23185.1,23185.1,88200
2020-10-01,23184.9,23184.9,23184.9,23184.9,23184.9,0
2020-10-02,23294.8,23365.6,22951.4,23029.9,23029.9,86300
2020-10-05,23254.3,23377.4,23252.7,23312.1,23312.1,59500
2020-10-06,23420.1,23441.2,23331.4,23433.7,23433.7,57700
2020-10-07,23272.4,23432.7,23272.4,23422.8,23422.8,52100
2020-10-08,23506.3,23701.8,23477.7,23647.1,23647.1,56300
2020-10-09,23713.9,23725.6,23552.7,23619.7,23619.7,56100
2020-10-12,23588.7,23597.9,23501.3,23558.7,23558.7,44900
2020-10-13,23667.9,23667.9,23490.9,23601.8,23601.8,47200
2020-10-14,23545.7,23656.7,23518.8,23626.7,23626.7,54000
2020-10-15,23548.4,23581.2,23458.4,23507.2,23507.2,48300
2020-10-16,23478.4,23538.7,23382.7,23410.6,23410.6,48100
2020-10-19,23543.7,23707.2,23543.7,23671.1,23671.1,46300
2020-10-20,23587.9,23674.9,23518.3,23567,23567,48700
2020-10-21,23615.5,23702.3,23611.3,23639.5,23639.5,53300
2020-10-22,23525.6,23555.8,23436.2,23474.3,23474.3,44900
2020-10-23,23558.7,23587.9,23469.1,23516.6,23516.6,49200
2020-10-26,23520.8,23572.6,23475.5,23494.3,23494.3,41700
2020-10-27,23377,23485.8,23232.3,23485.8,23485.8,52700
2020-10-28,23372.6,23451,23334.2,23418.5,23418.5,67100
2020-10-29,23170.8,23374.1,23170.8,23331.9,23331.9,57500
2020-10-30,23320.7,23320.7,22948.5,22977.1,22977.1,76700
2020-11-02,23110.7,23370.9,23096.8,23295.5,23295.5,69700
2020-11-04,23619.6,23801.9,23505.8,23695.2,23695.2,81600
2020-11-05,23776.2,24112.4,23756.8,24105.3,24105.3,78600
2020-11-06,24076.2,24389,24039.2,24325.2,24325.2,73200
2020-11-09,24568.8,24962.8,24541.3,24839.8,24839.8,67000
2020-11-10,25087.3,25279.9,24833.2,24905.6,24905.6,128200
2020-11-11,25145.7,25401.3,25145.7,25349.6,25349.6,102500
2020-11-12,25439.3,25588,25316.6,25520.9,25520.9,80500
2020-11-13,25405.6,25456.2,25215.3,25385.9,25385.9,0
